Index,Churn Reason,Churn Score,Churn Value,City,CLTV,Contract,Dependents,Device Protection,Gender,Internet Service,Is Manual Payment Method,Lat Long,Latitude,Longitude,Monthly Charges,Multiple Lines,Online Backup,Online Security,Paperless Billing,Partner,Payment Method,Phone Service,Senior Citizen,Streaming Movies,Streaming TV,Sum Of Additional Services,Tech Support,Tenure Category,Tenure Months,Total Charges,Zip Code
1075,Competitor offered higher download speeds,79,1,Trona,2412,Month-to-month,No,No,Female,Fiber optic,Yes,"35.74837, -117.384948",35.74837,-117.384948,69.6,No,No,No,Yes,No,Electronic check,Yes,No,No,No,0,No,New Customers,1,69.6,93562
1076,Competitor offered higher download speeds,73,1,Valyermo,6452,One year,No,Yes,Male,DSL,Yes,"34.39583, -117.734568",34.39583,-117.734568,84.35,Yes,No,Yes,No,Yes,Electronic check,Yes,No,Yes,Yes,5,Yes,Loyal Customers,49,4059.35,93563
1077,Competitor offered more data,70,1,Palmdale,4481,Month-to-month,No,No,Female,Fiber optic,Yes,"34.598221, -117.79593",34.598221,-117.79593,100.2,Yes,Yes,No,Yes,Yes,Electronic check,Yes,Yes,Yes,Yes,3,No,Loyal Customers,68,6851.65,93591
1078,Competitor offered more data,98,1,Ahwahnee,3458,Month-to-month,No,No,Female,Fiber optic,Yes,"37.375816, -119.739935",37.375816,-119.739935,78.05,No,No,No,No,No,Electronic check,Yes,No,No,Yes,1,No,New Customers,1,78.05,93601
1079,Competitor offered more data,87,1,Big Creek,2679,Month-to-month,No,No,Male,Fiber optic,Yes,"37.17277, -119.2997",37.17277,-119.2997,73.6,Yes,No,No,No,No,Electronic check,Yes,No,No,No,0,No,New Customers,7,520,93605
1080,Competitor made better offer,82,1,Biola,5003,Month-to-month,No,No,Female,Fiber optic,Yes,"36.798882, -120.019511",36.798882,-120.019511,74.75,Yes,No,No,Yes,No,Electronic check,Yes,No,No,No,0,No,New Customers,9,706.6,93606
1081,Competitor made better offer,81,1,Dinuba,5355,Month-to-month,No,No internet service,Male,No,Yes,"36.523619, -119.386868",36.523619,-119.386868,20.2,No,No internet service,No internet service,Yes,No,Mailed check,Yes,No,No internet service,No internet service,0,No internet service,New Customers,1,20.2,93618
1082,Price too high,100,1,Helm,4937,Month-to-month,No,No,Female,Fiber optic,Yes,"36.520537, -120.118055",36.520537,-120.118055,93.55,Yes,No,No,Yes,Yes,Electronic check,Yes,Yes,Yes,Yes,2,No,established customers,24,2264.05,93627
1083,Product dissatisfaction,77,1,Kingsburg,4810,Month-to-month,No,No,Male,DSL,Yes,"36.478239, -119.52137",36.478239,-119.52137,25.05,No phone service,No,No,Yes,No,Electronic check,No,No,No,No,0,No,New Customers,2,56.35,93631
1084,Service dissatisfaction,75,1,Parlier,2999,Month-to-month,No,Yes,Male,Fiber optic,Yes,"36.622237, -119.521126",36.622237,-119.521126,95.55,Yes,Yes,No,Yes,Yes,Electronic check,Yes,Yes,Yes,No,3,No,established customers,27,2510.2,93648
1085,Lack of self-service on Website,66,1,Sanger,4917,Month-to-month,No,No,Male,DSL,Yes,"36.819628, -119.440414",36.819628,-119.440414,39.3,No phone service,Yes,No,Yes,No,Electronic check,No,No,No,Yes,2,No,Loyal Customers,57,2111.45,93657
1086,Network reliability,85,1,Shaver Lake,2783,Month-to-month,No,No internet service,Female,No,Yes,"37.223, -119.001021",37.223,-119.001021,20.25,No,No internet service,No internet service,Yes,No,Mailed check,Yes,No,No internet service,No internet service,0,No internet service,New Customers,1,20.25,93664
1087,Limited range of services,82,1,South Dos Palos,2967,Month-to-month,No,No,Female,DSL,Yes,"36.959731, -120.653519",36.959731,-120.653519,23.9,No phone service,No,No,Yes,No,Electronic check,No,No,No,No,0,No,established customers,13,300.8,93665
1088,Lack of affordable download/upload speed,95,1,Squaw Valley,4931,Month-to-month,No,Yes,Female,Fiber optic,Yes,"36.719141, -119.202677",36.719141,-119.202677,85.45,No,No,No,Yes,No,Electronic check,Yes,No,No,Yes,2,No,New Customers,1,85.45,93675
1089,Long distance charges,71,1,Fresno,4776,One year,No,No,Female,Fiber optic,No,"36.739385, -119.753649",36.739385,-119.753649,99.9,Yes,Yes,No,No,No,Bank transfer (automatic),Yes,No,Yes,Yes,3,No,Loyal Customers,63,6137,93702
1090,Extra data charges,70,1,Fresno,4203,Month-to-month,No,No,Male,Fiber optic,Yes,"36.78724, -119.827813",36.78724,-119.827813,84.8,Yes,No,No,Yes,No,Electronic check,Yes,No,Yes,No,1,No,established customers,25,2043.45,93705
1091,Price too high,94,1,Fresno,4639,Month-to-month,No,No,Male,Fiber optic,Yes,"36.833002, -119.82947",36.833002,-119.82947,75.2,Yes,No,No,Yes,Yes,Electronic check,Yes,No,No,No,0,No,established customers,35,2576.2,93711
1092,Product dissatisfaction,95,1,Fresno,4879,Two year,No,No,Male,DSL,Yes,"36.78979, -119.929894",36.78979,-119.929894,49.35,No phone service,Yes,No,No,Yes,Electronic check,No,No,Yes,Yes,3,No,Loyal Customers,71,3515.25,93722
1093,Service dissatisfaction,87,1,Salinas,4160,Month-to-month,No,No,Male,Fiber optic,Yes,"36.64152, -121.622188",36.64152,-121.622188,74.9,Yes,No,No,Yes,No,Electronic check,Yes,No,No,No,0,No,New Customers,6,469.8,93901
1094,Lack of self-service on Website,85,1,Marina,3968,Month-to-month,No,Yes,Female,Fiber optic,Yes,"36.689582, -121.758398",36.689582,-121.758398,101.25,No,Yes,No,Yes,No,Electronic check,Yes,No,Yes,Yes,4,No,established customers,15,1457.25,93933
1095,Network reliability,78,1,Pacific Grove,5403,Month-to-month,No,No internet service,Male,No,Yes,"36.618337, -121.926417",36.618337,-121.926417,18.95,No,No internet service,No internet service,Yes,No,Mailed check,Yes,No,No internet service,No internet service,0,No internet service,New Customers,9,185.6,93950
1096,Don't know,82,1,Seaside,4429,Month-to-month,No,No,Female,DSL,No,"36.625114, -121.823565",36.625114,-121.823565,28.6,No phone service,No,No,No,No,Credit card (automatic),No,No,No,No,1,Yes,established customers,37,973.55,93955
1097,Competitor had better devices,72,1,Daly City,3278,Month-to-month,No,No,Female,DSL,Yes,"37.691561, -122.445202",37.691561,-122.445202,24.35,No phone service,No,No,No,No,Electronic check,No,Yes,No,No,0,No,New Customers,2,41.85,94014
1098,Competitor offered higher download speeds,93,1,Half Moon Bay,4235,Month-to-month,No,No,Female,Fiber optic,Yes,"37.45567, -122.407992",37.45567,-122.407992,98.65,Yes,No,No,No,No,Electronic check,Yes,Yes,Yes,Yes,3,Yes,established customers,29,2862.75,94019
1099,Competitor offered more data,90,1,Loma Mar,4324,Month-to-month,No,Yes,Male,Fiber optic,No,"37.266388, -122.26308",37.266388,-122.26308,79.9,Yes,No,No,Yes,Yes,Bank transfer (automatic),Yes,Yes,No,No,1,No,New Customers,5,343.95,94021
1100,Competitor made better offer,78,1,Atherton,4136,Month-to-month,No,Yes,Female,Fiber optic,Yes,"37.454924, -122.203168",37.454924,-122.203168,103.3,Yes,No,No,Yes,No,Electronic check,Yes,Yes,Yes,Yes,4,Yes,established customers,28,2890.65,94027
1101,Competitor had better devices,92,1,Millbrae,3101,Month-to-month,No,No,Female,Fiber optic,No,"37.601248, -122.403099",37.601248,-122.403099,96.2,Yes,No,Yes,Yes,Yes,Credit card (automatic),Yes,No,No,Yes,3,Yes,New Customers,11,1222.05,94030
1102,Competitor had better devices,86,1,Redwood City,4369,One year,No,Yes,Male,Fiber optic,Yes,"37.410567, -122.297152",37.410567,-122.297152,104.15,Yes,No,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,4,Yes,Loyal Customers,55,5743.05,94062
1103,Competitor offered higher download speeds,66,1,San Francisco,5245,Month-to-month,No,Yes,Male,Fiber optic,No,"37.791222, -122.402241",37.791222,-122.402241,102.95,Yes,Yes,No,Yes,No,Credit card (automatic),Yes,Yes,Yes,Yes,4,No,established customers,24,2496.7,94104
1104,Competitor offered higher download speeds,92,1,San Francisco,2540,Month-to-month,No,No,Female,Fiber optic,Yes,"37.789168, -122.395009",37.789168,-122.395009,90.6,No,No,No,No,No,Electronic check,Yes,No,Yes,Yes,2,No,New Customers,1,90.6,94105
1105,Competitor offered higher download speeds,88,1,San Francisco,4713,Month-to-month,No,No,Female,DSL,No,"37.768881, -122.395521",37.768881,-122.395521,50.8,No,No,No,Yes,No,Bank transfer (automatic),Yes,No,No,No,1,Yes,New Customers,6,288.05,94107
1106,Competitor offered more data,98,1,San Francisco,3212,Month-to-month,No,No,Male,Fiber optic,Yes,"37.791998, -122.408653",37.791998,-122.408653,90.05,Yes,Yes,No,Yes,No,Electronic check,Yes,No,Yes,No,2,No,New Customers,4,368.1,94108
1107,Competitor offered more data,79,1,San Francisco,4062,Month-to-month,No,No,Female,Fiber optic,Yes,"37.800254, -122.436975",37.800254,-122.436975,75.85,Yes,No,No,Yes,Yes,Electronic check,Yes,No,No,No,0,No,New Customers,3,256.6,94123
1108,Competitor offered more data,89,1,San Francisco,5753,Month-to-month,No,No,Male,Fiber optic,Yes,"37.736535, -122.45732",37.736535,-122.45732,68.5,No,No,No,Yes,Yes,Electronic check,Yes,No,No,No,0,No,New Customers,1,68.5,94127
1109,Competitor made better offer,75,1,San Francisco,4509,Month-to-month,No,No,Male,Fiber optic,Yes,"37.820894, -122.369725",37.820894,-122.369725,73.5,No,No,Yes,Yes,No,Electronic check,Yes,No,No,No,1,No,New Customers,11,791.75,94130
1110,Competitor made better offer,65,1,San Francisco,5341,Month-to-month,No,No,Female,Fiber optic,Yes,"37.722302, -122.491129",37.722302,-122.491129,69.95,No,No,No,Yes,No,Mailed check,Yes,No,No,No,0,No,New Customers,1,69.95,94132
1111,Price too high,84,1,Palo Alto,4944,Month-to-month,No,Yes,Male,DSL,Yes,"37.386978, -122.177746",37.386978,-122.177746,70.05,No,No,No,Yes,No,Electronic check,Yes,No,Yes,Yes,3,No,New Customers,5,346.4,94304
1112,Product dissatisfaction,71,1,San Mateo,2632,Month-to-month,No,Yes,Male,Fiber optic,Yes,"37.590421, -122.306467",37.590421,-122.306467,94,Yes,Yes,No,Yes,No,Electronic check,Yes,No,No,Yes,3,No,New Customers,8,773.65,94401
1113,Service dissatisfaction,87,1,San Mateo,4626,Month-to-month,Yes,Yes,Female,DSL,Yes,"37.556634, -122.317723",37.556634,-122.317723,61.15,No,Yes,Yes,No,Yes,Mailed check,Yes,No,No,No,3,No,established customers,22,1422.05,94402
1114,Lack of self-service on Website,99,1,Byron,2651,Month-to-month,No,No,Male,Fiber optic,Yes,"37.83323, -121.601461",37.83323,-121.601461,84.45,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,No,No,No,2,No,established customers,29,2467.1,94514
1115,Network reliability,89,1,Calistoga,4800,One year,No,Yes,Male,DSL,Yes,"38.629618, -122.593216",38.629618,-122.593216,75.3,Yes,No,No,Yes,Yes,Mailed check,Yes,No,Yes,Yes,3,No,established customers,13,989.45,94515
1116,Limited range of services,69,1,Concord,5863,One year,No,Yes,Female,Fiber optic,Yes,"37.990118, -122.012188",37.990118,-122.012188,109.55,Yes,No,Yes,Yes,Yes,Mailed check,Yes,Yes,Yes,Yes,5,Yes,established customers,43,4830.25,94519
1117,Lack of affordable download/upload speed,81,1,Concord,5000,Month-to-month,No,No internet service,Female,No,Yes,"38.013825, -122.039144",38.013825,-122.039144,19.6,No,No internet service,No internet service,Yes,No,Mailed check,Yes,No,No internet service,No internet service,0,No internet service,New Customers,3,59.75,94520
1118,Long distance charges,87,1,Crockett,4522,Month-to-month,No,Yes,Male,DSL,No,"38.049292, -122.228415",38.049292,-122.228415,66.4,No,No,Yes,No,No,Bank transfer (automatic),Yes,Yes,No,Yes,3,No,New Customers,2,94.55,94525
1119,Extra data charges,72,1,Fairfield,4512,Month-to-month,No,No,Male,Fiber optic,No,"38.287136, -122.02711",38.287136,-122.02711,100.05,Yes,No,No,Yes,Yes,Credit card (automatic),Yes,Yes,Yes,Yes,3,Yes,Loyal Customers,66,6871.9,94533
1120,Price too high,87,1,Travis Afb,5090,One year,No,No,Male,Fiber optic,Yes,"38.265899, -121.939461",38.265899,-121.939461,102,Yes,Yes,Yes,No,No,Electronic check,Yes,No,Yes,No,4,Yes,Loyal Customers,62,6529.25,94535
1121,Product dissatisfaction,91,1,Fremont,2026,Month-to-month,No,Yes,Male,Fiber optic,No,"37.516791, -121.899117",37.516791,-121.899117,90.2,Yes,Yes,Yes,No,Yes,Credit card (automatic),Yes,No,No,No,3,No,established customers,17,1454.15,94539
1122,Service dissatisfaction,79,1,Hayward,6484,Two year,No,No internet service,Male,No,No,"37.639215, -122.037554",37.639215,-122.037554,25.15,Yes,No internet service,No internet service,Yes,Yes,Credit card (automatic),Yes,No,No internet service,No internet service,0,No internet service,Loyal Customers,56,1327.15,94544
1123,Lack of self-service on Website,67,1,Hayward,2554,Month-to-month,No,No,Female,Fiber optic,No,"37.62984, -122.120843",37.62984,-122.120843,79.85,Yes,No,No,Yes,No,Credit card (automatic),Yes,No,No,No,1,Yes,established customers,31,2404.15,94545
1124,Network reliability,78,1,Lafayette,3599,Month-to-month,No,No,Female,DSL,Yes,"37.907777, -122.127161",37.907777,-122.127161,49.6,No,Yes,No,Yes,No,Mailed check,Yes,No,No,No,1,No,New Customers,2,114.7,94549
1125,Don't know,86,1,Pinole,6117,One year,No,Yes,Female,Fiber optic,No,"37.996462, -122.293716",37.996462,-122.293716,105.95,Yes,No,No,Yes,Yes,Credit card (automatic),Yes,Yes,Yes,Yes,4,Yes,Loyal Customers,66,6975.25,94564
1126,Attitude of service provider,91,1,Pittsburg,2704,Month-to-month,No,Yes,Male,Fiber optic,Yes,"38.006047, -121.916834",38.006047,-121.916834,91.85,Yes,No,No,No,No,Electronic check,Yes,No,Yes,No,2,No,New Customers,3,257.05,94565
1127,Attitude of support person,93,1,Pope Valley,5434,Month-to-month,Yes,No,Female,DSL,Yes,"38.672708, -122.403219",38.672708,-122.403219,40.1,No phone service,No,No,No,Yes,Electronic check,No,No,No,Yes,2,Yes,New Customers,1,40.1,94567
1128,Attitude of support person,75,1,Port Costa,2560,Month-to-month,No,No,Female,Fiber optic,Yes,"38.035707, -122.196821",38.035707,-122.196821,73.9,Yes,No,No,Yes,No,Electronic check,Yes,Yes,No,No,0,No,established customers,31,2217.15,94569
1129,Attitude of support person,81,1,Rio Vista,4107,Month-to-month,No,No,Female,Fiber optic,Yes,"38.148862, -121.737696",38.148862,-121.737696,89.8,No,No,No,Yes,No,Mailed check,Yes,No,Yes,Yes,2,No,established customers,14,1129.1,94571
1130,Don't know,83,1,Deer Park,5898,Month-to-month,Yes,Yes,Female,DSL,Yes,"38.554383, -122.474773",38.554383,-122.474773,72.25,Yes,No,Yes,No,Yes,Electronic check,Yes,No,No,Yes,4,Yes,established customers,35,2568.55,94576
1131,Attitude of service provider,81,1,Vallejo,4448,Month-to-month,No,No,Female,Fiber optic,Yes,"38.104705, -122.247387",38.104705,-122.247387,96.55,Yes,No,No,Yes,No,Electronic check,Yes,Yes,Yes,Yes,2,No,established customers,37,3580.3,94590
1132,Attitude of service provider,68,1,Walnut Creek,4414,Month-to-month,No,No,Female,DSL,No,"37.900662, -122.052782",37.900662,-122.052782,40.1,No phone service,Yes,No,Yes,No,Credit card (automatic),No,No,Yes,No,2,No,New Customers,7,293.3,94596
1133,Attitude of support person,87,1,Oakland,4287,Month-to-month,No,No,Male,Fiber optic,Yes,"37.776523, -122.219268",37.776523,-122.219268,101.25,Yes,Yes,No,Yes,No,Electronic check,Yes,Yes,Yes,Yes,3,No,established customers,24,2440.15,94601
1134,Competitor made better offer,81,1,Oakland,5082,Month-to-month,No,No,Female,Fiber optic,Yes,"37.803883, -122.208417",37.803883,-122.208417,79.55,No,No,No,No,No,Electronic check,Yes,No,No,Yes,1,No,New Customers,1,79.55,94602
1135,Moved,68,1,Oakland,3553,One year,No,No,Female,Fiber optic,Yes,"37.828416, -122.216005",37.828416,-122.216005,84.05,Yes,No,No,No,No,Electronic check,Yes,No,No,Yes,1,No,established customers,32,2781.85,94611
1136,Moved,79,1,Oakland,2905,Month-to-month,No,No,Male,Fiber optic,Yes,"37.787186, -122.14633",37.787186,-122.14633,89.1,No,No,No,Yes,No,Electronic check,Yes,No,Yes,Yes,2,No,New Customers,1,89.1,94619
1137,Moved,66,1,Berkeley,4103,Month-to-month,No,Yes,Female,Fiber optic,Yes,"37.863843, -122.275684",37.863843,-122.275684,94.4,Yes,No,Yes,No,Yes,Electronic check,Yes,No,No,Yes,3,No,established customers,17,1607.2,94703
1138,Competitor had better devices,72,1,Berkeley,3666,Month-to-month,No,Yes,Male,Fiber optic,Yes,"37.871416, -122.246597",37.871416,-122.246597,78.25,No,Yes,No,Yes,No,Electronic check,Yes,No,No,No,2,No,established customers,19,1490.95,94704
1139,Competitor offered higher download speeds,86,1,San Pablo,5655,Month-to-month,No,No,Male,DSL,Yes,"37.980269, -122.342635",37.980269,-122.342635,44.15,No,No,No,Yes,No,Electronic check,Yes,Yes,No,No,0,No,New Customers,2,92.65,94806
1140,Competitor offered more data,92,1,San Rafael,4174,Month-to-month,No,No,Female,Fiber optic,Yes,"38.018065, -122.546024",38.018065,-122.546024,75.75,Yes,No,No,Yes,No,Electronic check,Yes,Yes,No,No,0,No,New Customers,8,606.25,94903
1141,Competitor made better offer,84,1,Bolinas,5890,Month-to-month,No,No internet service,Female,No,Yes,"37.943087, -122.72379",37.943087,-122.72379,19.1,No,No internet service,No internet service,Yes,No,Mailed check,Yes,No,No internet service,No internet service,0,No internet service,New Customers,1,19.1,94924
1142,Competitor had better devices,87,1,Corte Madera,4138,Month-to-month,No,No,Male,Fiber optic,Yes,"37.924014, -122.511694",37.924014,-122.511694,80.3,Yes,No,Yes,Yes,Yes,Electronic check,Yes,Yes,No,No,1,No,New Customers,1,80.3,94925
1143,Competitor had better devices,73,1,Cotati,5919,Month-to-month,No,Yes,Female,Fiber optic,Yes,"38.326215, -122.718742",38.326215,-122.718742,74.9,No,No,No,Yes,No,Electronic check,Yes,No,No,No,1,No,New Customers,1,74.9,94931
1144,Competitor offered higher download speeds,71,1,Point Reyes Station,5242,Month-to-month,No,No,Female,Fiber optic,Yes,"38.060264, -122.830646",38.060264,-122.830646,80.85,No,No,No,Yes,No,Electronic check,Yes,Yes,No,Yes,1,No,New Customers,9,751.65,94956
1145,Competitor offered higher download speeds,69,1,San Anselmo,3503,Month-to-month,No,No,Male,DSL,Yes,"37.99272, -122.575026",37.99272,-122.575026,24.75,No phone service,No,No,No,No,Electronic check,No,No,No,No,0,No,New Customers,3,66.95,94960
1146,Competitor offered higher download speeds,70,1,Boulder Creek,5651,Month-to-month,No,Yes,Female,Fiber optic,No,"37.171727, -122.142961",37.171727,-122.142961,90.85,Yes,No,No,Yes,No,Credit card (automatic),Yes,Yes,Yes,No,2,No,Loyal Customers,49,4515.85,95006
1147,Competitor offered more data,65,1,Capitola,3039,Month-to-month,No,Yes,Female,Fiber optic,No,"36.977025, -121.952864",36.977025,-121.952864,79.7,No,Yes,No,No,Yes,Bank transfer (automatic),Yes,No,No,No,2,No,New Customers,2,165,95010
1148,Competitor offered more data,69,1,Cupertino,5463,Two year,No,No,Male,DSL,No,"37.306612, -122.080621",37.306612,-122.080621,57.55,No,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,No,No,No,3,Yes,Loyal Customers,55,3046.4,95014
1149,Competitor offered more data,72,1,Los Gatos,2036,Month-to-month,No,No,Female,Fiber optic,Yes,"37.233034, -121.947427",37.233034,-121.947427,86.5,Yes,No,No,Yes,Yes,Electronic check,Yes,No,Yes,No,1,No,established customers,21,1808.7,95032
1150,Competitor made better offer,86,1,Milpitas,4283,Month-to-month,No,Yes,Female,Fiber optic,Yes,"37.441931, -121.878502",37.441931,-121.878502,103.95,Yes,Yes,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,4,No,Loyal Customers,69,7446.9,95035
1151,Competitor made better offer,85,1,Morgan Hill,5437,Month-to-month,No,No,Male,DSL,Yes,"37.161544, -121.649371",37.161544,-121.649371,25.1,No phone service,No,No,Yes,No,Electronic check,No,Yes,No,No,0,No,New Customers,1,25.1,95037
1152,Price too high,80,1,Santa Clara,3080,Month-to-month,No,No,Male,DSL,No,"37.351214, -121.952417",37.351214,-121.952417,48.95,No phone service,Yes,Yes,Yes,No,Credit card (automatic),No,No,No,Yes,4,Yes,established customers,39,1880.85,95050
1153,Product dissatisfaction,91,1,Santa Cruz,4242,Month-to-month,No,No,Male,Fiber optic,No,"36.993451, -122.098858",36.993451,-122.098858,83.55,No,Yes,No,Yes,Yes,Credit card (automatic),Yes,No,Yes,No,2,No,New Customers,6,477.55,95060
1154,Service dissatisfaction,89,1,San Jose,5082,Month-to-month,No,Yes,Female,Fiber optic,Yes,"37.34667, -121.910019",37.34667,-121.910019,89.15,No,Yes,No,Yes,No,Electronic check,Yes,Yes,No,Yes,3,No,established customers,17,1496.9,95110
1155,Lack of self-service on Website,90,1,San Jose,3525,Month-to-month,No,No,Male,Fiber optic,Yes,"37.350284, -121.852855",37.350284,-121.852855,70.45,No,No,No,Yes,No,Mailed check,Yes,No,No,No,0,No,New Customers,1,70.45,95116
1156,Network reliability,88,1,San Jose,4026,One year,No,Yes,Male,DSL,No,"37.311088, -121.961786",37.311088,-121.961786,60.3,No,Yes,Yes,No,Yes,Credit card (automatic),Yes,No,No,No,3,No,Loyal Customers,58,3563.8,95117
1157,Limited range of services,96,1,San Jose,3001,Month-to-month,Yes,No,Male,DSL,Yes,"37.238758, -121.828375",37.238758,-121.828375,24.75,No phone service,No,No,No,No,Electronic check,No,No,No,No,0,No,New Customers,1,24.75,95123
1158,Lack of affordable download/upload speed,67,1,San Jose,2349,Month-to-month,No,Yes,Male,Fiber optic,Yes,"37.375156, -121.795867",37.375156,-121.795867,103.3,Yes,No,No,No,Yes,Electronic check,Yes,No,Yes,Yes,4,Yes,established customers,19,2012.7,95127
1159,Long distance charges,71,1,Stockton,3567,Month-to-month,No,No,Male,Fiber optic,Yes,"37.959706, -121.287669",37.959706,-121.287669,78.5,No,No,No,Yes,No,Electronic check,Yes,No,No,Yes,1,No,New Customers,3,242.05,95202
1160,Extra data charges,95,1,Stockton,3398,Month-to-month,No,No internet service,Female,No,Yes,"37.974498, -121.319568",37.974498,-121.319568,19.85,No,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,0,No internet service,New Customers,3,63.75,95204
1161,Price too high,97,1,Stockton,4367,Month-to-month,No,No,Male,Fiber optic,Yes,"37.902422, -121.440029",37.902422,-121.440029,79.9,No,No,No,Yes,No,Electronic check,Yes,Yes,No,Yes,1,No,New Customers,3,260.9,95206
1162,Product dissatisfaction,69,1,Stockton,3548,Month-to-month,No,No,Female,Fiber optic,Yes,"38.044523, -121.348048",38.044523,-121.348048,99.7,Yes,Yes,No,Yes,No,Electronic check,Yes,Yes,Yes,Yes,3,No,established customers,30,2967.35,95209
1163,Service dissatisfaction,97,1,Stockton,2003,Month-to-month,No,No,Male,DSL,No,"38.049457, -121.21653",38.049457,-121.21653,58.6,Yes,Yes,No,Yes,No,Credit card (automatic),Yes,No,No,No,2,Yes,established customers,15,939.7,95212
1164,Lack of self-service on Website,91,1,Acampo,4501,Month-to-month,No,Yes,Male,Fiber optic,Yes,"38.200231, -121.235034",38.200231,-121.235034,98.5,Yes,No,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,3,No,New Customers,10,1037.75,95220
1165,Network reliability,69,1,Arnold,2806,Month-to-month,No,Yes,Female,DSL,Yes,"38.32153, -120.236358",38.32153,-120.236358,50.45,No,No,No,Yes,No,Mailed check,Yes,No,No,No,1,No,New Customers,1,50.45,95223
1166,Don't know,71,1,Campo Seco,3498,Month-to-month,No,Yes,Male,Fiber optic,Yes,"38.233879, -120.861666",38.233879,-120.861666,94.65,Yes,Yes,No,Yes,Yes,Electronic check,Yes,No,No,Yes,3,No,established customers,38,3624.3,95226
1167,Don't know,100,1,Clements,5797,Month-to-month,No,No,Female,Fiber optic,No,"38.227285, -121.02789",38.227285,-121.02789,100.25,Yes,Yes,No,Yes,No,Credit card (automatic),Yes,No,Yes,Yes,3,No,New Customers,1,100.25,95227
1168,Don't know,88,1,French Camp,5186,Month-to-month,No,Yes,Female,Fiber optic,Yes,"37.873283, -121.292034",37.873283,-121.292034,88.45,Yes,No,No,Yes,No,Electronic check,Yes,No,Yes,No,2,No,established customers,16,1422.1,95231
1169,Poor expertise of online support,97,1,Glencoe,4548,Month-to-month,No,No,Male,Fiber optic,Yes,"38.358464, -120.579304",38.358464,-120.579304,69.85,No,No,No,Yes,No,Electronic check,Yes,No,No,No,0,No,New Customers,1,69.85,95232
1170,Poor expertise of phone support,76,1,Hathaway Pines,2850,Month-to-month,No,Yes,Male,Fiber optic,No,"38.184914, -120.364085",38.184914,-120.364085,81.7,No,No,Yes,No,No,Bank transfer (automatic),Yes,No,No,No,2,No,New Customers,12,858.6,95233
1171,Competitor had better devices,77,1,Lockeford,4669,Month-to-month,No,No,Male,Fiber optic,Yes,"38.166791, -121.14207",38.166791,-121.14207,79.9,No,No,No,Yes,No,Electronic check,Yes,No,Yes,No,1,No,New Customers,4,324.3,95237
1172,Competitor offered higher download speeds,86,1,Lodi,2853,Month-to-month,No,No internet service,Female,No,No,"38.128087, -121.4078",38.128087,-121.4078,25.4,Yes,No internet service,No internet service,Yes,No,Credit card (automatic),Yes,No,No internet service,No internet service,0,No internet service,established customers,15,399.6,95242
1173,Competitor offered more data,71,1,Murphys,4995,Month-to-month,No,Yes,Male,Fiber optic,No,"38.147852, -120.440124",38.147852,-120.440124,83.75,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,Yes,No,No,2,No,established customers,41,3273.55,95247
1174,Competitor made better offer,82,1,Wallace,5421,Month-to-month,No,No internet service,Female,No,Yes,"38.192608, -120.957842",38.192608,-120.957842,20.9,No,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,0,No internet service,New Customers,1,20.9,95254
1175,Competitor had better devices,65,1,Atwater,2404,Month-to-month,No,No,Female,Fiber optic,Yes,"37.321233, -120.656354",37.321233,-120.656354,69.4,No,No,No,Yes,Yes,Mailed check,Yes,No,No,No,0,No,New Customers,1,69.4,95301
1176,Competitor had better devices,68,1,Big Oak Flat,5159,Month-to-month,No,No,Female,Fiber optic,Yes,"37.818589, -120.256995",37.818589,-120.256995,74.9,Yes,No,No,Yes,No,Electronic check,Yes,No,No,No,0,No,New Customers,7,541.15,95305
1177,Competitor offered higher download speeds,94,1,Crows Landing,2322,Month-to-month,No,No,Female,Fiber optic,No,"37.435664, -121.049056",37.435664,-121.049056,74.15,No,No,Yes,Yes,Yes,Credit card (automatic),Yes,Yes,No,No,1,No,established customers,42,3229.4,95313
1178,Competitor offered higher download speeds,100,1,Gustine,2007,Month-to-month,No,No,Female,Fiber optic,Yes,"37.147198, -121.120161",37.147198,-121.120161,70.1,No,No,No,Yes,No,Electronic check,Yes,No,No,No,0,No,New Customers,1,70.1,95322
1179,Competitor offered higher download speeds,98,1,Hughson,3545,Month-to-month,No,No,Female,Fiber optic,Yes,"37.5923, -120.853288",37.5923,-120.853288,78.3,Yes,No,Yes,Yes,No,Electronic check,Yes,No,No,No,1,No,New Customers,12,909.25,95326
1180,Competitor offered more data,82,1,La Grange,4089,Month-to-month,No,No,Male,Fiber optic,Yes,"37.666587, -120.411517",37.666587,-120.411517,96.8,Yes,No,No,Yes,No,Electronic check,Yes,No,Yes,Yes,2,No,Loyal Customers,55,5283.95,95329
1181,Competitor offered more data,66,1,Lathrop,2825,Month-to-month,No,No,Female,Fiber optic,Yes,"37.80821, -121.308401",37.80821,-121.308401,94.4,Yes,Yes,Yes,Yes,No,Electronic check,Yes,No,No,Yes,3,No,established customers,17,1617.5,95330
